Author,Birth Year,Death Year,Display Name
"Marx, Karl",1818.0,1883.0,Karl Marx
"Melanchthon, Philipp",1497.0,1560.0,Philipp Melanchthon
"Melville, Herman",1819.0,1891.0,Herman Melville
"Michelet, Jules",1798.0,1874.0,Jules Michelet
"Mill, John Stuart",1806.0,1873.0,John Stuart Mill
"Milton, John",1608.0,1674.0,John Milton
"Montaigne, Michel de",1533.0,1592.0,Michel de Montaigne
"Moore, G. E. (George Edward)",1873.0,1958.0,George Edward Moore
"Mussolini, Benito",1883.0,1945.0,Benito Mussolini
"Napoleon I, Emperor of the French",1769.0,1821.0,Emperor Napoleon
"Nassau, Robert Hamill",1835.0,1921.0,Robert Hamill Nassau
"Newton, Isaac",1642.0,1727.0,Isaac Newton
"Nietzsche, Friedrich Wilhelm",1844.0,1900.0,Friedrich Wilhelm Nietzsche
Nostradamus,1503.0,1566.0,Nostradamus
"Ober, Charles K. (Charles Kellogg)",1856.0,1926.0,Charles Kellogg Ober
Origen,184.0,253.0,Origen
"Orr, Charles Ebert",1861.0,1933.0,Charles Ebert Orr
Oxonian,,,
"Paine, Thomas",1737.0,1809.0,Thomas Paine
"Pascal, Blaise",1623.0,1662.0,Blaise Pascal
Plato,-428.0,-348.0,Plato
Plotinus,204.0,270.0,Plotinus
Plutarch,46.0,119.0,Plutarch
"Priestley, Joseph",1733.0,1804.0,Joseph Priestley
Ptolemy,100.0,170.0,Ptolemy
"Rand, Ayn",1905.0,1982.0,Ayn Rand
"Roosevelt, Theodore",1858.0,1919.0,Theodore Roosevelt
"Rousseau, Jean-Jacques",1712.0,1778.0,Jean-Jacques Rousseau
"Russell, Bertrand",1872.0,1970.0,Bertrand Russell
Sartre,1905.0,1980.0,Jean-Paul Sartre
"Scheele, Carl Wilhelm",1742.0,1786.0,Carl Wilhelm Scheele
"Schiller, Friedrich",1759.0,1805.0,Friedrich Schiller
"Schlegel, Friedrich von",1772.0,1829.0,Friedrich von Schlegel
"Schopenhauer, Arthur",1788.0,1860.0,Arthur Schopenhauer
"Schwegler, Albert",1819.0,1857.0,Albert Schwegler
