Author,Birth Year,Death Year
"Buchan, John",1875.0,1940.0
"Buchanan, James",1804.0,1870.0
"Bucher, John Emery",1872.0,1943.0
"Buchheimer, L. B. (Louis Balthaser)",1872.0,1953.0
"Bulfinch, Thomas",1796.0,1867.0
"Bullinger, E. W. (Ethelbert William)",1837.0,1913.0
"Bunyan, John",1628.0,1688.0
"Burbidge, Edward",1840.0,1903.0
"Burdette, Robert J. (Robert Jones)",1844.0,1914.0
"Burgon, John William",1813.0,1888.0
"Burgoyne, Thomas H.",,
"Burnet, John",1863.0,1928.0
"Burnham, William Henry",1855.0,1941.0
"Burt, N. C. (Nathaniel Clark)",1825.0,1874.0
"Busoni, Ferruccio",1866.0,1924.0
"Bute, John Patrick Crichton-Stuart, Marquess of",1847.0,1900.0
"Butterworth, Hezekiah",1839.0,1905.0
"Byrum, Isabel C. (Isabel Coston)",1870.0,1938.0
"Böhme, Jakob",1575.0,1624.0
"Bühler, Georg",1837.0,1898.0
"Cajori, Florian",1859.0,1930.0
"Calderwood, Henry",1830.0,1897.0
"Calhoun, A. R. (Alfred Rochefort)",1844.0,
"Calmet, Augustin",1672.0,1757.0
"Cambon, Madame de (Maria Geertruida van de Werken)",,
"Cameron, Margaret",1867.0,1947.0
"Campanella, Tommaso",1568.0,1639.0
"Campion, Edmund, Saint",1540.0,1581.0
"Camus, Jean-Pierre",1584.0,1652.0
"Capel, T. J. (Thomas John)",1836.0,1911.0
"Carey, William",1761.0,1834.0
"Carlile, Richard",1790.0,1843.0
"Carlyle, Thomas",1795.0,1881.0
"Carnegie, Andrew",1835.0,1919.0
"Carrington, Hereward",1880.0,1959.0
"Carus, Paul",1852.0,1919.0
"Carvalho, David Nunes",1848.0,1925.0
"Cassels, Walter Richard",1826.0,1907.0
"Cassilly, Francis Bernard",1860.0,1938.0
"Castiglione, Baldassarre, conte",1478.0,1529.0
"Caton, Richard",1842.0,1926.0
"Caussade, Jean Pierre de",,1751.0
"Cavendish, George",1500.0,
"Celnart, Elisabeth",1796.0,1865.0
"Cervantes Saavedra, Miguel de",1547.0,1616.0
"Chadwick, G. A. (George Alexander)",1840.0,1923.0
"Chafer, Lewis Sperry",1871.0,1952.0
"Challis, James",1803.0,1882.0
"Chantal, Jeanne-Françoise de, Saint",1572.0,1641.0
"Chapin, E. H. (Edwin Hubbell)",1814.0,1880.0
"Chapone, Mrs. (Hester)",1727.0,1801.0
"Chappell, Clovis Gillham",1882.0,1972.0
"Charnock, Stephen",1628.0,1680.0
Cheiro,1866.0,1936.0
"Chekhov, Anton Pavlovich",1860.0,1904.0
"Chen, Yü-Gwan",1893.0,
