Author,Birth Year,Death Year
"Lucretius Carus, Titus",-95.0,-55.0
"Ludovici, Anthony M. (Anthony Mario)",1882.0,1971.0
"Lundquist, Matthew Nathanael",1886.0,1964.0
Luther,1483.0,1546.0
"Lutz, Alma",,
"Lytton, Edward Bulwer Lytton, Baron",1803.0,1873.0
"Lévi, Éliphas",1810.0,1875.0
"Lévy-Bruhl, Lucien",1857.0,1939.0
"Mabini, Apolinario",1864.0,1903.0
"MacCulloch, J. A. (John Arnott)",1868.0,1950.0
"MacNeil, John",,
"MacRory, Joseph",1861.0,1945.0
"Mach, Ernst",1838.0,1916.0
"Machar, Agnes Maule",1837.0,1927.0
"Machen, J. Gresham (John Gresham)",1881.0,1937.0
"Machiavelli, Niccolò",1469.0,1527.0
"Mackarness, Henry S., Mrs.",1826.0,1881.0
"Mackey, Albert Gallatin",1807.0,1881.0
"Maclagan, Robert Craig",1839.0,1919.0
"Maclise, Joseph",,
"Macquer, Pierre Joseph",1718.0,1784.0
"Mactear, James",,
Madhava,,1386.0
"Maeterlinck, Maurice",1862.0,1949.0
"Mahaffy, J. P. (John Pentland)",1839.0,1919.0
"Mahood, J. W. (John Wilmot)",1864.0,1955.0
"Maimon, Solomon",1754.0,1800.0
"Maimonides, Moses",1135.0,1204.0
"Maitland, Edward",1824.0,1897.0
"Mallock, W. H. (William Hurrell)",1849.0,1923.0
"Malory, Thomas, Sir",,1471.0
"Mandeville, Bernard",1670.0,1733.0
"Mangasarian, M. M. (Mangasar Mugurditch)",1859.0,1943.0
"Maniri, Sharaf al-Din Ahmad ibn Yahya",,
"Mansel, Henry Longueville",1820.0,1871.0
"Mapes, Victor",1870.0,1943.0
"Marcet, Mrs. (Jane Haldimand)",1769.0,1858.0
"Marden, Orison Swett",1848.0,1924.0
"Marion, Fulgence",,
"Marlowe, Christopher",1564.0,1593.0
"Marryat, Florence",1837.0,1899.0
"Marson, Charles L. (Charles Latimer)",1858.0,1914.0
"Martindale, Joseph C. (Joseph Comly)",1833.0,1872.0
"Martine, Arthur",,
"Martinengo-Cesaresco, Evelyn Lilian Hazeldine Carrington, contessa",1852.0,1931.0
"Marx, Karl",1818.0,1883.0
"Masham, Damaris, Lady",1658.0,1708.0
"Masson, David",1822.0,1907.0
"Mastin, John",1865.0,
"Mathews, Basil",1879.0,1951.0
"Maupassant, Guy de",1850.0,1893.0
"Mayow, Mayow Wynell",1810.0,1895.0
"McAfee, Cleland Boyd",1866.0,1944.0
"McCaul, Alexander",1799.0,1863.0
"McCrae, John",1872.0,1918.0
"McDonald, W. (William)",1820.0,1901.0
"McDowall, Stewart Andrew",1882.0,1935.0
"McFadyen, John Edgar",1870.0,1933.0
"McGilvary, Daniel",1828.0,1911.0
"McGovern, John",1850.0,1917.0
"McIlhenny, Loyce J.",,
"McIntyre, J. Lewis (James Lewis)",1868.0,
"McIvor-Tyndall, Alexander J. (Alexander James)",,1940.0
"McLachlan, D. B.",,
"McNair, George Hastings",,
"McQuilkin, Robert Crawford",1886.0,1952.0
"McSpadden, J. Walker (Joseph Walker)",1874.0,1960.0
"Meadowcroft, Wm. H. (William Henry)",1853.0,
"Mechthild, of Magdeburg",,
"Melamed, S. M.",1885.0,1938.0
"Melanchthon, Philipp",1497.0,1560.0
"Melville, Herman",1819.0,1891.0
"Mencken, H. L. (Henry Louis)",1880.0,1956.0
"Mendeleyev, Dmitry Ivanovich",1834.0,1907.0
"Menzies, Allan",1845.0,1916.0
"Michelet, Jules",1798.0,1874.0
"Mill, John Stuart",1806.0,1873.0
"Milton, John",1608.0,1674.0
"Minto, William",1845.0,1893.0
"Moir, George",1800.0,1870.0
"Moisa, Dorin Teodor",,
"Molloy, Gerald",1834.0,1906.0
"Monier-Williams, Monier, Sir",1819.0,1899.0
"Montaigne, Michel de",1533.0,1592.0
"Moore, G. E. (George Edward)",1873.0,1958.0
"Morison, William",1843.0,1937.0
"Morley, John",1838.0,1923.0
"Morrison, Charles R. (Charles Robert)",1819.0,1893.0
"Mortimer, Favell Lee",1802.0,1878.0
"Mortimore, D.",,
"Mosso, A. (Angelo)",1846.0,1910.0
"Moszkowski, Alexander",1851.0,1934.0
"Moule, H. C. G. (Handley Carr Glyn)",1841.0,1920.0
"Muhammad, Prophet",,632.0
"Mukerji, A. P., swámi",,
"Munro, John",1849.0,1930.0
"Mussolini, Benito",1883.0,1945.0
"Myerson, Abraham",1881.0,1948.0
"Münsterberg, Hugo",1863.0,1916.0
"Napoleon I, Emperor of the French",1769.0,1821.0
"Naquet, Alfred",1834.0,1916.0
"Nassau, Robert Hamill",1835.0,1921.0
"Naville, Ernest",1816.0,1909.0
"Naylor, Charles Wesley",1874.0,1950.0
"Negretti, Enrico Angelo Lodovico",1818.0,1879.0
"Newcastle, Margaret Cavendish, Duchess of",,1674.0
"Newcomb, Harvey",1803.0,1863.0
"Newth, Samuel",1821.0,1898.0
"Newton, Isaac",1642.0,1727.0
"Nickerson, Hoffman",1888.0,1965.0
"Nicole, Pierre",1625.0,1695.0
"Nicolini, G. B. (Giovanni Battista)",,
"Nietzsche, Friedrich Wilhelm",1844.0,1900.0
"Nilus, Sergiei",1862.0,1930.0
"Nitobe, Inazo",1862.0,1933.0
"Noe, A. H.",,
"Nordau, Max Simon",1849.0,1923.0
"Nordmann, Charles",1881.0,1940.0
Nostradamus,1503.0,1566.0
"Notovitch, Nicolas",1858.0,
"Noyes, Carleton Eldredge",1872.0,1950.0
"Nukariya, Kaiten",,
"O'Donnell, Elliott",1872.0,1965.0
"O'Leary, De Lacy",1872.0,1957.0
"O'Malley, Austin",1858.0,1932.0
"Oakesmith, John",,
"Ober, Charles K. (Charles Kellogg)",1856.0,
"Oesterley, W. O. E. (William Oscar Emil)",1866.0,1950.0
"Offen, Benjamin",,
"Ogilvie, William",1688.0,1729.0
"Okakura, Yoshisaburo",1868.0,1936.0
"Olcott, Henry Steel",1832.0,1907.0
"Oppenheim, L. (Lassa)",1858.0,1919.0
"Ordway, Edith B. (Edith Bertha)",1877.0,1944.0
Origen,184.0,253.0
"Orr, Charles Ebert",1861.0,1933.0
"Orton, Arthur W.",,
"Osborne, Zenas",,
"Osgood, Samuel",1812.0,1880.0
"Osler, William, Sir",1849.0,1919.0
"Ostwald, Wilhelm",1853.0,1932.0
"Oswald, Felix L. (Felix Leopold)",1845.0,1906.0
"Otto, Rudolf",1869.0,1937.0
Oxonian,,
"Packer, Thomas",,
"Paine, Thomas",1737.0,1809.0
"Palmieri, Luigi",1807.0,1896.0
"Pankhurst, Emmeline",1858.0,1928.0
"Pannekoek, Anton",1873.0,1960.0
"Papini, Giovanni",1881.0,1956.0
"Pardo de Tavera, T. H. (Trinidad Hermenegildo)",1857.0,1925.0
"Parlette, Ralph Albert",1870.0,1930.0
"Pascal, Blaise",1623.0,1662.0
"Pasteur, Louis",1822.0,1895.0
Patañjali,,
"Patmore, Coventry",1823.0,1896.0
"Paton, John Gibson",1824.0,1907.0
"Patterson, Robert",1829.0,1885.0
Paulist Fathers,,
"Paullin, Theodore",,
"Payne-Gallwey, Ralph, Sir",1848.0,1916.0
"Peabody, Andrew P. (Andrew Preston)",1811.0,1893.0
"Pease, Edward R. (Edward Reynolds)",1857.0,1955.0
"Peirce, Charles S. (Charles Sanders)",1839.0,1914.0
"Pemberton, Henry",1694.0,1771.0
"Penrose, Francis",1718.0,1798.0
"Petrarca, Francesco",1304.0,1374.0
"Petrie, W. M. Flinders (William Matthew Flinders)",1853.0,1942.0
Petronius Arbiter,20.0,66.0
"Pettigrew, James Bell",1834.0,1908.0
"Phelan, Michael J.",,
"Phelips, Vivian",1860.0,
"Phillimore, Joseph",1750.0,1831.0
"Philpot, J. H., Mrs.",,
"Phin, John",1830.0,1913.0
"Phipps, Edward James",,
"Piccoli, Raffaello",1886.0,1933.0
"Picton, J. Allanson (James Allanson)",1832.0,1910.0
"Piesse, G. W. Septimus (George William Septimus)",1820.0,1882.0
"Pitt-Rivers, George Henry Lane Fox",1890.0,1966.0
Plato,-428.0,-348.0
"Playfair, William",1759.0,1823.0
Plotinus,204.0,270.0
"Plummer, Alfred",1841.0,1926.0
"Plunket, Emmeline M. (Emmeline Mary)",1835.0,
"Plunkitt, George Washington",1842.0,1924.0
Plutarch,46.0,119.0
"Podmore, Frank",1856.0,1910.0
"Poe, Edgar Allan",1809.0,1849.0
"Pohle, Joseph",1852.0,1922.0
"Polidori, John William",1795.0,1821.0
"Pollock, Horatio M. (Horatio Milo)",1868.0,1950.0
"Pollyen, Howard D.",,
"Powys, John Cowper",1872.0,1963.0
"Pozzi-Escot, M. Emm. (Marius Emmanuel)",1880.0,
"Prakashananda, Swami",1874.0,1927.0
"Premananda Bharati, Baba",1857.0,1914.0
"Preyer, William T.",1841.0,1897.0
"Prichard, H. A. (Harold Arthur)",1871.0,1947.0
"Priestley, Joseph",1733.0,1804.0
"Prime-Stevenson, Edward",1858.0,1942.0
"Proudhon, P.-J. (Pierre-Joseph)",1809.0,1865.0
"Proust, Marcel",1871.0,1922.0
Ptolemy,,
"Punshon, William Morley",1824.0,1881.0
"Pyle, Howard",1853.0,1911.0
"Pérez Galdós, Benito",1843.0,1920.0
"Quadrupani, Carlo Giuseppe",,
"Quigley, Edward J.",,
"Raby, Richard",,
"Ragozin, Zénaïde A. (Zénaïde Alexeïevna)",1835.0,1924.0
"Railton, George S. (George Scott)",1849.0,1913.0
"Raizizun, Yacki",1892.0,1966.0
"Ramsay, William",1852.0,1916.0
"Ramus, Petrus",1515.0,1572.0
"Rand, Ayn",1905.0,1982.0
"Randolph, B.  W. (Berkeley William)",1858.0,1925.0
"Ranney, Dave",1863.0,
"Ransome, Arthur",1884.0,1967.0
"Rashdall, Hastings",1858.0,1924.0
"Rauschenbusch, Walter",1861.0,1918.0
"Rawlinson, A. E. J. (Alfred Edward John)",1884.0,1960.0
"Reber, George",,
"Redgrove, H. Stanley (Herbert Stanley)",1887.0,1943.0
"Rees, Byron J. (Byron Johnson)",1877.0,1920.0
"Reeve, Arthur B. (Arthur Benjamin)",1880.0,1936.0
"Regester, J. A. (Jacob Asbury)",1892.0,1914.0
"Reidenbach, Clarence",,
"Reisner, George Andrew",1867.0,1942.0
"Remsburg, John E. (John Eleazer)",1848.0,1919.0
"Reynolds, Frances",1729.0,1807.0
"Rhees, Rush",1860.0,1939.0
"Ribot, Th. (Théodule)",1839.0,1916.0
"Rickaby, Joseph",1845.0,1932.0
"Ricker, Marilla M. (Marilla Marks)",1840.0,1920.0
"Ridgley, Thomas",,1734.0
"Ridgway, John L.",1859.0,1947.0
"Rimmer, Harry",1890.0,1952.0
"Ritchie, J. Ewing (James Ewing)",1820.0,1898.0
"Rivenburg, Romeyn Henry",,
"Rizal, José",1861.0,1896.0
"Robison, John",1739.0,1805.0
"Rockwell, Carey",,
"Rolle, Richard, of Hampole",,1349.0
"Rolleston, T. W. (Thomas William)",1857.0,1920.0
"Romanes, George John",1848.0,1894.0
"Roosevelt, Theodore",1858.0,1919.0
"Rothschild, Alonzo",1862.0,1915.0
"Rousseau, Jean-Jacques",1712.0,1778.0
"Routledge, George",1812.0,1888.0
"Rowland, Henry Augustus",1848.0,1901.0
"Rumford, Benjamin, Graf von",1753.0,1814.0
"Ruskin, John",1819.0,1900.0
"Russell, Bertrand",1872.0,1970.0
"Ryan, John A. (John Augustine)",1869.0,1945.0
"Rydberg, Viktor",1828.0,1895.0
"Ryden, Ernest Edwin",,
"Ryerson, Egerton",1803.0,1882.0
"Ryle, J. C. (John Charles)",1816.0,1900.0
"Réville, Albert",1826.0,1906.0
"Sabatier, Auguste",1839.0,1901.0
"Sadger, J.",1867.0,1942.0
"Sadler, M. F. (Michael Ferrebee)",1819.0,1895.0
"Sadlier, J., Mrs.",1820.0,1903.0
"Sainte-Foi, Charles",1806.0,1861.0
"Saltus, Edgar",1855.0,1921.0
"Sampter, Jessie E. (Jessie Ethel)",1883.0,1938.0
"Sanday, W. (William)",1843.0,1920.0
"Sanford, P. Gerald (Percy Gerald)",,
"Sanger, Margaret",1879.0,1966.0
"Santayana, George",1863.0,1952.0
Sartre,1905.0,1980.0
"Sayce, A. H. (Archibald Henry)",1845.0,1933.0
"Schauffler, Robert Haven",1879.0,1964.0
"Schechter, S. (Solomon)",1847.0,1915.0
"Scheele, Carl Wilhelm",1742.0,1786.0
"Schele de Vere, M. (Maximilian)",1820.0,1898.0
"Schiller, Friedrich",1759.0,1805.0
"Schlegel, Friedrich von",1772.0,1829.0
"Schmemann, Alexander",1921.0,1983.0
"Schmid, Rudolf",1828.0,1907.0
"Schoffen, Elizabeth",1861.0,
"Scholten, Johannes Henricus",1811.0,1885.0
"Schopenhauer, Arthur",1788.0,1860.0
"Schuyler, George S. (George Samuel)",1895.0,1977.0
"Schwegler, Albert",1819.0,1857.0
"Schweitzer, Albert",1875.0,1965.0
"Scrivener, Frederick Henry Ambrose",1813.0,1891.0
"Scully, Vincent",,
"Sears, F. W. (Franklin Warren)",1863.0,
"Seelye, Edward Eli",1819.0,1864.0
"Seemann, Otto",1825.0,1901.0
"Seibert, Fred R.",,
"Seiss, Joseph Augustus",1823.0,1904.0
"Sellars, Roy Wood",1880.0,1973.0
"Sellon, Edward",,1866.0
"Seneca, Lucius Annaeus",,65.0
Sengcan,,606.0
Sepharial,1864.0,1929.0
"Seton, Julia",1862.0,1950.0
"Shackleton, Ernest Henry, Sir",1874.0,1922.0
"Shakespeare, William",1564.0,1616.0
"Sharswood, George",1810.0,1883.0
"Shedd, William G. T. (William Greenough Thayer)",1820.0,1894.0
"Sherlock, Thomas",1678.0,1761.0
"Sherwood, M. E. W. (Mary Elizabeth Wilson)",1826.0,1903.0
"Shestov, Lev",1866.0,1938.0
Shinran,1173.0,1263.0
"Shoghi, Effendi",1897.0,1957.0
"Sidgwick, Henry",1838.0,1900.0
"Sikes, Wirt",1836.0,1883.0
"Sindall, R. W. (Robert Walter)",,
"Sinistrari, Ludovico Maria",1622.0,1701.0
"Skeat, Walter William",1866.0,1953.0
"Slade, James",1783.0,1860.0
"Slattery, Margaret",,
"Slosson, Edwin E. (Edwin Emery)",1865.0,1929.0
"Slowinski, David",,
"Smith, Adam",1723.0,1790.0
"Smithson, E. W. (Edward Walter), active 19th century",,
"Smolnikar, Andrew B. (Andreas Bernardus)",1795.0,1869.0
"Snouck Hurgronje, C. (Christiaan)",1857.0,1936.0
"Snowden, James H. (James Henry)",1852.0,1936.0
"Snowman, Jacob",1871.0,
"Somerville, Mary",1780.0,1872.0
"Soo, Chung Ling",1861.0,1918.0
Sophocles,-496.0,-406.0
"Sorley, W. R. (William Ritchie)",1855.0,1935.0
"Sotheran, Charles",1847.0,1902.0
"Soulsby, Lucy Helen Muriel",1856.0,1927.0
"Southwell, Charles",1814.0,1860.0
"Spalding, Thomas Alfred",1850.0,
"Speer, Robert E. (Robert Elliott)",1867.0,1947.0
"Spence, Lewis",1874.0,1955.0
"Spenser, Edmund",1551.0,1599.0
"Spicer, William Ambrose",1865.0,1952.0
"Spinoza, Benedictus de",1632.0,1677.0
"Spurgeon, Caroline F. E. (Caroline Frances Eleanor)",1869.0,1942.0
"Squier, Edward Summers",,
"Stace, W. T. (Walter Terence)",1886.0,1967.0
"Stalker, James",1848.0,1927.0
"Stanley, Hiram Miner",,
"Stanoyevich, Milivoy S. (Milivoy Stoyan)",1882.0,1973.0
"Stanton, Elizabeth Cady",1815.0,1902.0
"Stapleton, John H. (John Henry)",1873.0,
"Starke, D.",,
"Starr, Frederick",1858.0,1933.0
"Staveley, Lilian",,1928.0
"Stebbing, W. (William)",1832.0,1926.0
"Steedman, Amy",,
"Steffens, Lincoln",1866.0,1936.0
"Stein, Armin",1840.0,1929.0
"Steinmetz, Margaret Bird",,
"Stekel, Wilhelm",1868.0,1940.0
"Sterne, Laurence",1713.0,1768.0
"Stieglitz, Julius",1867.0,1937.0
"Stirner, Max",1806.0,1856.0
"Stoddard, Lothrop",1883.0,1950.0
"Stoddart, Jane T.",1863.0,1944.0
"Stoughton, John",1807.0,1897.0
"Stowe, Harriet Beecher",1811.0,1896.0
"Strahan, James",1863.0,1926.0
"Strauss, David Friedrich",1808.0,1874.0
"Strunk, William",1869.0,1946.0
"Stryker, Elisabeth G.",,
"Studd, C. T. (Charles Thomas)",1860.0,1931.0
"Sunzi, active 6th century B.C.",,
"Sutro, Emil",1832.0,1906.0
"Suzuki, Daisetz Teitaro",1870.0,1966.0
"Swain, Richard La Rue",1860.0,
"Swedenborg, Emanuel",1688.0,1772.0
"Sweeney, Z. T. (Zachary Taylor)",1849.0,1926.0
"Sylvain, Adrien",1826.0,1914.0
"Symonds, John Addington",1840.0,1893.0
"Synge, J. M. (John Millington)",1871.0,1909.0
"Taft, William H. (William Howard)",1857.0,1930.0
"Tagore, Rabindranath",1861.0,1941.0
"Taine, Hippolyte",1828.0,1893.0
"Tawney, R. H. (Richard Henry)",1880.0,1962.0
"Tefft, Lyman Beecher",1833.0,
"Terry, Milton Spenser",1840.0,1914.0
"Thacher, James",1754.0,1844.0
"Thatcher, Roscoe Wilfred",1872.0,1933.0
Theophrastus,-371.0,-287.0
"Thiselton-Dyer, T. F. (Thomas Firminger)",1848.0,1923.0
"Thoreau, Henry David",1817.0,1862.0
"Thorndike, Lynn",1882.0,1965.0
"Threlfall, Richard",,
"Thurston, Edgar",1855.0,1935.0
"Thérèse, de Lisieux, Saint",1873.0,1897.0
"Tidwell, Josiah Blake",1870.0,1946.0
"Tiffany, Joel",1811.0,1893.0
"Tileston, Mary Wilder",1843.0,1934.0
"Timpson, Thomas",1790.0,1860.0
"Tissot, S. A. D. (Samuel Auguste David)",1728.0,1797.0
"Titchener, Edward Bradford",1867.0,1927.0
"Tocqueville, Alexis de",1805.0,1859.0
"Todd, Thomas Olman",,
"Todhunter, John",1839.0,1916.0
"Toland, John",1670.0,1722.0
"Tolstoy, Leo, graf",1828.0,1910.0
"Toomer, Jean",1894.0,1967.0
"Torrey, R. A. (Reuben Archer)",1856.0,1928.0
"Tozer, A. W. (Aiden Wilson)",1897.0,1963.0
"Tressell, Robert",1870.0,1911.0
"Trollope, Anthony",1815.0,1882.0
"Trotsky, Leon",1879.0,1940.0
"Troward, T. (Thomas)",1847.0,1916.0
"Trumbull, H. Clay (Henry Clay)",1830.0,1903.0
"Tullidge, Edward W. (Edward William)",1829.0,1894.0
"Tulloch, John",1823.0,1886.0
"Tupper, Martin Farquhar",1810.0,1889.0
"Turgenev, Ivan Sergeevich",1818.0,1883.0
Turing,1912.0,1952.0
"Turton, W. H. (William Harry)",1856.0,1938.0
"Tuthill, Charles A. H.",,
"Tuttle, Hudson",1836.0,1910.0
"Twain, Mark",1835.0,1910.0
"Tweedale, Violet",,1936.0
"Tweedie, W. K. (William King)",1803.0,1863.0
"Tyack, Geo. S. (George Smith)",,
"Tyerman, L. (Luke)",1819.0,1889.0
"Tylor, Edward B. (Edward Burnett)",1832.0,1917.0
"Tyndale, William",1492.0,1536.0
"Tyndall, John",1820.0,1893.0
"Tyrrell, George",1861.0,1909.0
"Unamuno, Miguel de",1864.0,1936.0
"Urner, Nathan Dane",1839.0,1893.0
"Vacandard, E. (Elphège)",1849.0,1927.0
"Vaknin, Samuel",1961.0,
"Valla, Lorenzo",1407.0,1457.0
Valmiki,,
"Valuy, Benôit",1808.0,1869.0
"Velimirović, Nikolaj",1880.0,1956.0
"Venable, Lyn",,
"Venn, John",1834.0,1923.0
"Verne, Jules",1828.0,1905.0
Vidyāpati Thākura,,1448.0
"Vignoli, Tito",1828.0,1914.0
Virgil,-70.0,-19.0
"Vivekananda, Swami",1863.0,1902.0
"Volney, C.-F. (Constantin-François)",1757.0,1820.0
Voltaire,1694.0,1778.0
"Vonnegut, Kurt",1922.0,2007.0
"Waite, Arthur Edward",1857.0,1942.0
"Waley, Arthur",1889.0,1966.0
"Wallas, Graham",1858.0,1932.0
"Waln, Robert",1765.0,1836.0
"Walpole, Horace",1717.0,1797.0
"Walsh, James J. (James Joseph)",1865.0,1942.0
"Warford, Aaron A.",,
"Warschauer, Joseph",1869.0,
"Warton, John",1770.0,1841.0
"Warwick, Eden",,1873.0
"Washburn, L. K. (Lemuel Kelley)",1846.0,1927.0
"Watters, Thomas",1840.0,1901.0
"Wattles, W. D.",1860.0,1911.0
"Weinbaum, Stanley G. (Stanley Grauman)",1902.0,1935.0
"Wertenbaker, Thomas Jefferson",1879.0,1966.0
"Wesley, John",1703.0,1791.0
"Westbrook, Richard B. (Richard Brodhead)",,
"Westermarck, Edward",1862.0,1939.0
"Weymouth, Richard Francis",1822.0,1902.0
"Wharton, Edith",1862.0,1937.0
"Whewell, William",1794.0,1866.0
"Whipple, Henry Benjamin",1822.0,1901.0
"Whitefield, George",1714.0,1770.0
"Whitehead, Alfred North",1861.0,1947.0
"Whiteside, Robertson L.",1869.0,1951.0
"Whiting, Lilian",1847.0,1942.0
"Whitman, Walt",1819.0,1892.0
"Whitney, Orson F. (Orson Ferguson)",1855.0,1931.0
"Whiton, James Morris",1833.0,1920.0
"Whittaker, Thomas",1856.0,1935.0
"Whyte, Alexander",1836.0,1921.0
"Wiedemann, Alfred",1856.0,1936.0
"Wiggin, Edith E.",,
"Wilbur, Henry Watson",1851.0,1914.0
"Wilcox, Ella Wheeler",1850.0,1919.0
"Wilde, Oscar",1854.0,1900.0
"Williamson, Mabel",,
"Willis, Robert",1799.0,1878.0
"Wilmot-Buxton, E. M. (Ethel Mary)",,
"Wimberly, C. F. (Charles Franklin)",1866.0,1946.0
"Winckelmann, Johann Joachim",1717.0,1768.0
"Windle, Bertram Coghill Alan, Sir",1858.0,1929.0
"Windsor, William",1857.0,
"Winnington Ingram, Arthur F. (Arthur Foley)",1858.0,1946.0
Wittgenstein,1889.0,1951.0
"Wodehouse, C. N. (Charles Nourse)",1790.0,1870.0
"Woodman, J. M.",,
"Woodruff, Wilford",1807.0,1898.0
"Woodworth, Robert Sessions",1869.0,1962.0
"Woolf, Virginia",1882.0,1941.0
"Woolfenden, Glen Everett",1930.0,
"Woolman, John",1720.0,1772.0
"Worsfold, J. N. (John Napper)",,
"Wundt, Wilhelm Max",1832.0,1920.0
"Wylie, Philip",1902.0,1971.0
Xenophon,-431.0,-355.0
"Yeardley, John",1786.0,1858.0
"Yeats, W. B. (William Butler)",1865.0,1939.0
"Yogananda, Paramahansa",1893.0,1952.0
"Yonge, Charlotte M. (Charlotte Mary)",1823.0,1901.0
Yoritomo-Tashi,,1940.0
"Yost, Casper S. (Casper Salathiel)",1864.0,1941.0
"Zamiatin, Evgenii Ivanovich",1884.0,1937.0
"Zangwill, Israel",1864.0,1926.0
Zhuangzi,,
"Zimmermann, Johann Georg",1728.0,1795.0
Zitkala-Sa,1876.0,1938.0
"Zola, Émile",1840.0,1902.0
"Čapek, Karel",1890.0,1938.0
ʻAbdu'l-Bahá,1844.0,1921.0
Godel,1906.0,1978.0
